Operation Mercy,OM,INGO,Operation Mercy (OM)
Oman Embassy,Oman Embassy,Donor,Oman Embassy (Oman Embassy)
Operation Mercy,OPM,NGO,Operation Mercy (OPM)
OXFAM,OXFAM,INGO,OXFAM (OXFAM)
Minister of Prime Ministry Affairs,Prime Ministry,Government,Minister of Prime Ministry Affairs (Prime Ministry)
Secretary General of the Prime Minister,Prime Ministry,Government,Secretary General of the Prime Minister (Prime Ministry)
Premiere Urgence -AIde Medicale Internationale,PU-AMI,INGO,Premiere Urgence -AIde Medicale Internationale (PU-AMI)
Qatari Embassy,Qatari Embassy,Donor,Qatari Embassy (Qatari Embassy)
Qatar Red Crescent,QRC,INGO,Qatar Red Crescent (QRC)
Questscope for Social Development in the Middle East,Questscope,INGO,Questscope for Social Development in the Middle East (Questscope)
Reach ,REACH,INGO,Reach  (REACH)
Regional Humanitarian Coordinator Office,RHC Office,UN,Regional Humanitarian Coordinator Office (RHC Office)
Relief International,RI,INGO,Relief International (RI)
Roud Alamal for Microfinance Entrepreneurs,Roud Alamal for Microfinance Entrepreneurs,NGO,Roud Alamal for Microfinance Entrepreneurs (Roud Alamal for Microfinance Entrepreneurs)
Russian Embassy,Russian Embassy,Donor,Russian Embassy (Russian Embassy)
SyrianÊAmerican Medical Society,SAMS,NGO,SyrianÊAmerican Medical Society (SAMS)
Saudi Embassy,Saudi Embassy,Donor,Saudi Embassy (Saudi Embassy)
Save the Children,SC,INGO,Save the Children (SC)
Save the Children International,SC International,INGO,Save the Children International (SC International)
Save the Children Jordan,SC Jordan,INGO,Save the Children Jordan (SC Jordan)
ShelterBox,ShelterBox,NGO,ShelterBox (ShelterBox)
Swedish International Development Cooperation Agency,SIDA,Donor,Swedish International Development Cooperation Agency (SIDA)
Syrian INGO Regional Forum,SIRF,INGO,Syrian INGO Regional Forum (SIRF)
Syria Needs Assessment Project,SNAP,INGO,Syria Needs Assessment Project (SNAP)
Spanish Embassy,Spanish Embassy,Donor,Spanish Embassy (Spanish Embassy)
Urgence Solidarite Syrie,SUHA,NGO,Urgence Solidarite Syrie (SUHA)
Swedish Embassy,Swedish Embassy,Donor,Swedish Embassy (Swedish Embassy)
Swiss Confederation,Swiss Confederation,Donor,Swiss Confederation (Swiss Confederation)
Swiss Embassy,Swiss Embassy,Donor,Swiss Embassy (Swiss Embassy)
Terre Des Hommes - Lausanne CH,TdH - Lausanne,INGO,Terre Des Hommes - Lausanne CH (TdH - Lausanne)
TDH Italy,TDH I,INGO,TDH Italy (TDH I)
Tearfund,TF,INGO,Tearfund (TF)
Triangle GH Jordan,TGJ,INGO,Triangle GH Jordan (TGJ)
Embassy of the Kingdom of the Netherlands,The Netherlands Embassy,Donor,Embassy of the Kingdom of the Netherlands (The Netherlands Embassy)
German Federal Agency for Technical Relief,THW,INGO,German Federal Agency for Technical Relief (THW)
U.S Department of State,U.S Department of State,Government,U.S Department of State (U.S Department of State)
UAE Embassy,UAE Embassy,Donor,UAE Embassy (UAE Embassy)
UK Embassy,UK Embassy,Donor,UK Embassy (UK Embassy)
United Nations Office of the High Commissioner for Human Rights,UN OHCHR,UN,United Nations Office of the High Commissioner for Human Rights (UN OHCHR)
UN Resident Coordinator/Humanitarian Coordinator,UN RC/HC,UN,UN Resident Coordinator/Humanitarian Coordinator (UN RC/HC)
United Nations Development Programme,UNDP,UN,United Nations Development Programme (UNDP)
United Nations Department of Safety and Security,UNDSS,UN,United Nations Department of Safety and Security (UNDSS)
"United Nations Educational, Scientific and Cultural Organization",UNESCO,UN,"United Nations Educational, Scientific and Cultural Organization (UNESCO)"
United Nations Population Fund,UNFPA,UN,United Nations Population Fund (UNFPA)
United Nations Human Settlements Programme,UN-HABITAT,UN,United Nations Human Settlements Programme (UN-HABITAT)
United Nations High Commissioner For Refugees,UNHCR,UN,United Nations High Commissioner For Refugees (UNHCR)
United Nations Children's Fund,UNICEF,UN,United Nations Children's Fund (UNICEF)
United Nations Children's Fund,UNICEF JCO ,UN,United Nations Children's Fund (UNICEF JCO )
United Nations Industrial Development Organization,UNIDO,UN,United Nations Industrial Development Organization (UNIDO)
United Nartions Monitoring Mission Jordan,UNMM Jordan,UN,United Nartions Monitoring Mission Jordan (UNMM Jordan)
United Nations Office for the Coordination of Humanitarian Affairs,UNOCHA,UN,United Nations Office for the Coordination of Humanitarian Affairs (UNOCHA)
United Nations Office for Project Services,UNOPS,UN,United Nations Office for Project Services (UNOPS)
Un Ponte Per,UNPP,INGO,Un Ponte Per (UNPP)
United Nations Resident Coordinator/United Nations Development Programme,UNRC/UNDP,UN,United Nations Resident Coordinator/United Nations Development Programme (UNRC/UNDP)
United Nations Resident Coordinator's Office,UNRCO,UN,United Nations Resident Coordinator's Office (UNRCO)
United Nations Relief and Works Agency,UNRWA,UN,United Nations Relief and Works Agency (UNRWA)
UN Women,UNWOMEN,UN,UN Women (UNWOMEN)
US Embassy,US Embassy,Donor,US Embassy (US Embassy)
US Military,US Military,Government,US Military (US Military)
United States Agency for International Development,USAID,Donor,United States Agency for International Development (USAID)
World Bank,WB,Other,World Bank (WB)
War Child U.K.,WC,INGO,War Child U.K. (WC)
We Love Reading/Taghyeer organization,We Love Reading/Taghyeer organization,INGO,We Love Reading/Taghyeer organization (We Love Reading/Taghyeer organization)
World Food Programme,WFP,UN,World Food Programme (WFP)
World Health Organization,WHO,UN,World Health Organization (WHO)
World Relief,WR,INGO,World Relief (WR)
World Vision International,WVI,INGO,World Vision International (WVI)
