"Jordanian Evangelical Committee for Relief and Development (JECRaD)","organisation","","plain_text","0","","JECRaD","NGO","Jordanian Evangelical Committee for Relief and Development"
"Jordanian Hashemite Fund 
For Human Development (Johud)","organisation","","plain_text","0","","Johud","NGO","Jordanian Hashemite Fund 
For Human Development"
"Jordanian Psychological Association (JPAJO)","organisation","","plain_text","0","","JPAJO","NGO","Jordanian Psychological Association"
"King Hussein Foundation / Nour Al Hussein Foundation (KHF/NHF)","organisation","","plain_text","0","","KHF/NHF","NGO","King Hussein Foundation / Nour Al Hussein Foundation"
"Kuwait Embassy (Kuwait Embassy)","organisation","","plain_text","0","","Kuwait Embassy","Donor","Kuwait Embassy"
"Kvinna till Kvinna (KTK)","organisation","","plain_text","0","","KTK","INGO","Kvinna till Kvinna"
"Le Monde (Le Monde)","organisation","","plain_text","0","","Le Monde","INGO","Le Monde"
"Lebanese Embassy (Lebanese Embassy)","organisation","","plain_text","0","","Lebanese Embassy","Donor","Lebanese Embassy"
"Lutheran World Federation - World Service (LWF)","organisation","","plain_text","0","","LWF","INGO","Lutheran World Federation - World Service"
"Madrasati Initiative (Madrasati)","organisation","","plain_text","0","","Madrasati","Other","Madrasati Initiative"
"Medair (MEDIAR)","organisation","","plain_text","0","","MEDIAR","INGO","Medair"
"Mercy Corps (MercyCorps)","organisation","","plain_text","0","","MercyCorps","INGO","Mercy Corps"
"Minister of Prime Ministry Affairs (Prime Ministry)","organisation","","plain_text","0","","Prime Ministry","Government","Minister of Prime Ministry Affairs"
"Minister of State (Minister of State)","organisation","","plain_text","0","","Minister of State","Government","Minister of State"
"Minister of State for Media Affairs (Ministry of Media)","organisation","","plain_text","0","","Ministry of Media","Government","Minister of State for Media Affairs"
"Ministry of Agriculture  (MOA)","organisation","","plain_text","0","","MOA","Government","Ministry of Agriculture"
"Ministry of Awqaf Islamic Affairs and Holy Places  (Ministry of Awqaf)","organisation","","plain_text","0","","Ministry of Awqaf","Government","Ministry of Awqaf Islamic Affairs and Holy Places"
"Ministry of Culture  (MOC)","organisation","","plain_text","0","","MOC","Government","Ministry of Culture"
"Ministry of Education (MOE)","organisation","","plain_text","0","","MOE","Government","Ministry of Education"
"Ministry of Education - Jordan (MoE Jordan)","organisation","","plain_text","0","","MoE Jordan","Government","Ministry of Education - Jordan"
"Ministry of Energy and Mineral Resources  (MEMR)","organisation","","plain_text","0","","MEMR","Government","Ministry of Energy and Mineral Resources"
"Ministry of Environment  (MOENV)","organisation","","plain_text","0","","MOENV","Government","Ministry of Environment"
"Ministry of Finance  (MOF)","organisation","","plain_text","0","","MOF","Government","Ministry of Finance"
"Ministry of Foreign Affairs (MOFA)","organisation","","plain_text","0","","MOFA","Government","Ministry of Foreign Affairs"
"Ministry of Health (MOH)","organisation","","plain_text","0","","MOH","Government","Ministry of Health"
"Ministry of Health - Jordan (MoH Jordan)","organisation","","plain_text","0","","MoH Jordan","Government","Ministry of Health - Jordan"
"Ministry of Higher Education and Scientific Research  (MoHE)","organisation","","plain_text","0","","MoHE","Government","Ministry of Higher Education and Scientific Research"
"Ministry of Industry and Trade (MIT)","organisation","","plain_text","0","","MIT","Government","Ministry of Industry and Trade"
"Ministry of Information and Communications Technology  (MoICT)","organisation","","plain_text","0","","MoICT","Government","Ministry of Information and Communications Technology"
"Ministry of Interior (MOI)","organisation","","plain_text","0","","MOI","Government","Ministry of Interior"
"Ministry of Justice  (MOJ)","organisation","","plain_text","0","","MOJ","Government","Ministry of Justice"
"Ministry of Labor (MOL)","organisation","","plain_text","0","","MOL","Government","Ministry of Labor"
"Ministry of Labor AND Ministry of Tourism and Antiquities  (MOL/MOTA)","organisation","","plain_text","0","","MOL/MOTA","Government","Ministry of Labor AND Ministry of Tourism and Antiquities"
"Ministry of Municipal Affairs  (MOMA)","organisation","","plain_text","0","","MOMA","Government","Ministry of Municipal Affairs"
"Ministry of Planning and International Cooperation  (MoPIC)","organisation","","plain_text","0","","MoPIC","Government","Ministry of Planning and International Cooperation"
"Ministry of Political and Parliament Affairs  (MoPPA)","organisation","","plain_text","0","","MoPPA","Government","Ministry of Political and Parliament Affairs"
"Ministry of Public Sector Development  (MoPSD)","organisation","","plain_text","0","","MoPSD","Government","Ministry of Public Sector Development"
"Ministry of Public Works and Housing  (MOPW)","organisation","","plain_text","0","","MOPW","Government","Ministry of Public Works and Housing"
"Ministry of Social Development  (MOSD)","organisation","","plain_text","0","","MOSD","Government","Ministry of Social Development"
"Ministry of Tourism and Antiquities  (MOTA)","organisation","","plain_text","0","","MOTA","Government","Ministry of Tourism and Antiquities"
"Ministry of Transport  (MOT)","organisation","","plain_text","0","","MOT","Government","Ministry of Transport"
"Ministry of Water and Irrigation  (MOWI)","organisation","","plain_text","0","","MOWI","Government","Ministry of Water and Irrigation"
"Mizan for Law (Mizan Law)","organisation","","plain_text","0","","Mizan Law","NGO","Mizan for Law"
"Muslim Aid (MA)","organisation","","plain_text","0","","MA","INGO","Muslim Aid"
"M‚decins du Monde (MdM)","organisation","","plain_text","0","","MdM","INGO","M‚decins du Monde"
"M‚decins Sans FrontiŠres - France (MSF - F)","organisation","","plain_text","0","","MSF - F","INGO","M‚decins Sans FrontiŠres - France"
"M‚decins Sans FrontiŠres - Holland (MSF - H)","organisation","","plain_text","0","","MSF - H","INGO","M‚decins Sans FrontiŠres - Holland"
"M‚decins Sans FrontiŠres - Spain (MSF - S)","organisation","","plain_text","0","","MSF - S","INGO","M‚decins Sans FrontiŠres - Spain"
"Near East Foundation (NEF)","organisation","","plain_text","0","","NEF","INGO","Near East Foundation"
"Noor Al Hussein Foundation (NHF)","organisation","","plain_text","0","","NHF","NGO","Noor Al Hussein Foundation"
"Norwegian Refugee Council (NRC)","organisation","","plain_text","0","","NRC","INGO","Norwegian Refugee Council"
"Office of U.S. Foreign Disaster Assistance (OFDA)","organisation","","plain_text","0","","OFDA","Donor","Office of U.S. Foreign Disaster Assistance"
"Oman Embassy (Oman Embassy)","organisation","","plain_text","0","","Oman Embassy","Donor","Oman Embassy"
"Operation Mercy (OM)","organisation","","plain_text","0","","OM","INGO","Operation Mercy"
"Operation Mercy (OPM)","organisation","","plain_text","0","","OPM","NGO","Operation Mercy"
"OXFAM (OXFAM)","organisation","","plain_text","0","","OXFAM","INGO","OXFAM"
"Premiere Urgence -AIde Medicale Internationale (PU-AMI)","organisation","","plain_text","0","","PU-AMI","INGO","Premiere Urgence -AIde Medicale Internationale"
"Qatar Red Crescent (QRC)","organisation","","plain_text","0","","QRC","INGO","Qatar Red Crescent"
"Qatari Embassy (Qatari Embassy)","organisation","","plain_text","0","","Qatari Embassy","Donor","Qatari Embassy"
"Questscope for Social Development in the Middle East (Questscope)","organisation","","plain_text","0","","Questscope","INGO","Questscope for Social Development in the Middle East"
"Reach  (REACH)","organisation","","plain_text","0","","REACH","INGO","Reach"
"Regional Humanitarian Coordinator Office (RHC Office)","organisation","","plain_text","0","","RHC Office","UN","Regional Humanitarian Coordinator Office"
"Relief International (RI)","organisation","","plain_text","0","","RI","INGO","Relief International"
"Roud Alamal for Microfinance Entrepreneurs (Roud Alamal for Microfinance Entrepreneurs)","organisation","","plain_text","0","","Roud Alamal for Microfinance Entrepreneurs","NGO","Roud Alamal for Microfinance Entrepreneurs"
"Royal Norwegian Embassy (Norwegian Embassy)","organisation","","plain_text","0","","Norwegian Embassy","Donor","Royal Norwegian Embassy"
"Russian Embassy (Russian Embassy)","organisation","","plain_text","0","","Russian Embassy","Donor","Russian Embassy"
"Saudi Embassy (Saudi Embassy)","organisation","","plain_text","0","","Saudi Embassy","Donor","Saudi Embassy"
"Save the Children (SC)","organisation","","plain_text","0","","SC","INGO","Save the Children"
"Save the Children International (SC International)","organisation","","plain_text","0","","SC International","INGO","Save the Children International"
"Save the Children Jordan (SC Jordan)","organisation","","plain_text","0","","SC Jordan","INGO","Save the Children Jordan"
"Secretary General of the Prime Minister (Prime Ministry)","organisation","","plain_text","0","","Prime Ministry","Government","Secretary General of the Prime Minister"
"ShelterBox (ShelterBox)","organisation","","plain_text","0","","ShelterBox","NGO","ShelterBox"
"Spanish Embassy (Spanish Embassy)","organisation","","plain_text","0","","Spanish Embassy","Donor","Spanish Embassy"
"Swedish Embassy (Swedish Embassy)","organisation","","plain_text","0","","Swedish Embassy","Donor","Swedish Embassy"
"Swedish International Development Cooperation Agency (SIDA)","organisation","","plain_text","0","","SIDA","Donor","Swedish International Development Cooperation Agency"
"Swiss Confederation (Swiss Confederation)","organisation","","plain_text","0","","Swiss Confederation","Donor","Swiss Confederation"
"Swiss Embassy (Swiss Embassy)","organisation","","plain_text","0","","Swiss Embassy","Donor","Swiss Embassy"
"Syria Needs Assessment Project (SNAP)","organisation","","plain_text","0","","SNAP","INGO","Syria Needs Assessment Project"
"Syrian INGO Regional Forum (SIRF)","organisation","","plain_text","0","","SIRF","INGO","Syrian INGO Regional Forum"
"SyrianÿAmerican Medical Society (SAMS)","organisation","","plain_text","0","","SAMS","NGO","SyrianÿAmerican Medical Society"
"TDH Italy (TDH I)","organisation","","plain_text","0","","TDH I","INGO","TDH Italy"
"Tearfund (TF)","organisation","","plain_text","0","","TF","INGO","Tearfund"
"Terre Des Hommes - Lausanne CH (TdH - Lausanne)","organisation","","plain_text","0","","TdH - Lausanne","INGO","Terre Des Hommes - Lausanne CH"
"Triangle GH Jordan (TGJ)","organisation","","plain_text","0","","TGJ","INGO","Triangle GH Jordan"
"U.S Department of State (U.S Department of State)","organisation","","plain_text","0","","U.S Department of State","Government","U.S Department of State"
"UAE Embassy (UAE Embassy)","organisation","","plain_text","0","","UAE Embassy","Donor","UAE Embassy"
"UK Embassy (UK Embassy)","organisation","","plain_text","0","","UK Embassy","Donor","UK Embassy"
"UKÿDepartment for International Development (DFID)","organisation","","plain_text","0","","DFID","Donor","UKÿDepartment for International Development"
"Un Ponte Per (UNPP)","organisation","","plain_text","0","","UNPP","INGO","Un Ponte Per"
"UN Resident Coordinator/Humanitarian Coordinator (UN RC/HC)","organisation","","plain_text","0","","UN RC/HC","UN","UN Resident Coordinator/Humanitarian Coordinator"
"UN Women (UNWOMEN)","organisation","","plain_text","0","","UNWOMEN","UN","UN Women"
"United Nartions Monitoring Mission Jordan (UNMM Jordan)","organisation","","plain_text","0","","UNMM Jordan","UN","United Nartions Monitoring Mission Jordan"
"United Nations Children's Fund (UNICEF JCO )","organisation","","plain_text","0","","UNICEF JCO","UN","United Nations Children's Fund"
"United Nations Children's Fund (UNICEF)","organisation","","plain_text","0","","UNICEF","UN","United Nations Children's Fund"
"United Nations Department of Safety and Security (UNDSS)","organisation","","plain_text","0","","UNDSS","UN","United Nations Department of Safety and Security"
"United Nations Development Programme (UNDP)","organisation","","plain_text","0","","UNDP","UN","United Nations Development Programme"
"United Nations Educational, Scientific and Cultural Organization (UNESCO)","organisation","","plain_text","0","","UNESCO","UN","United Nations Educational, Scientific and Cultural Organization"
"United Nations High Commissioner For Refugees (UNHCR)","organisation","","plain_text","0","","UNHCR","UN","United Nations High Commissioner For Refugees"
"United Nations Human Settlements Programme (UN-HABITAT)","organisation","","plain_text","0","","UN-HABITAT","UN","United Nations Human Settlements Programme"
"United Nations Industrial Development Organization (UNIDO)","organisation","","plain_text","0","","UNIDO","UN","United Nations Industrial Development Organization"
"United Nations Office for Project Services (UNOPS)","organisation","","plain_text","0","","UNOPS","UN","United Nations Office for Project Services"
"United Nations Office for the Coordination of Humanitarian Affairs (UNOCHA)","organisation","","plain_text","0","","UNOCHA","UN","United Nations Office for the Coordination of Humanitarian Affairs"
"United Nations Office of the High Commissioner for Human Rights (UN OHCHR)","organisation","","plain_text","0","","UN OHCHR","UN","United Nations Office of the High Commissioner for Human Rights"
"United Nations Population Fund (UNFPA)","organisation","","plain_text","0","","UNFPA","UN","United Nations Population Fund"
"United Nations Relief and Works Agency (UNRWA)","organisation","","plain_text","0","","UNRWA","UN","United Nations Relief and Works Agency"
"United Nations Resident Coordinator's Office (UNRCO)","organisation","","plain_text","0","","UNRCO","UN","United Nations Resident Coordinator's Office"
"United Nations Resident Coordinator/United Nations Development Programme (UNRC/UNDP)","organisation","","plain_text","0","","UNRC/UNDP","UN","United Nations Resident Coordinator/United Nations Development Programme"
"United States Agency for International Development (USAID)","organisation","","plain_text","0","","USAID","Donor","United States Agency for International Development"
"UNOCHA","organisation","","","0","","","",""
"Urgence Solidarite Syrie (SUHA)","organisation","","plain_text","0","","SUHA","NGO","Urgence Solidarite Syrie"
"US Embassy (US Embassy)","organisation","","plain_text","0","","US Embassy","Donor","US Embassy"
"US Military (US Military)","organisation","","plain_text","0","","US Military","Government","US Military"
"War Child U.K. (WC)","organisation","","plain_text","0","","WC","INGO","War Child U.K."
"We Love Reading/Taghyeer organization (We Love Reading/Taghyeer organization)","organisation","","plain_text","0","","We Love Reading/Taghyeer organization","INGO","We Love Reading/Taghyeer organization"
"World Bank (WB)","organisation","","plain_text","0","","WB","Other","World Bank"
"World Food Programme (WFP)","organisation","","plain_text","0","","WFP","UN","World Food Programme"
"World Health Organization (WHO)","organisation","","plain_text","0","","WHO","UN","World Health Organization"
"World Relief (WR)","organisation","","plain_text","0","","WR","INGO","World Relief"
"World Vision International (WVI)","organisation","","plain_text","0","","WVI","INGO","World Vision International"
